MsgID.LOCAL_VELOCITY,26.7840000,-0.0000214,-0.0000225,0.0000157
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924801,0.0840000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,27.0340000,-0.0345758,0.2721916,-0.0840307
MsgID.LOCAL_VELOCITY,27.0340000,0.0000206,-0.0000236,0.0000252
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924806,0.1360000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,27.2850000,0.0241935,0.2795072,-0.1365323
MsgID.LOCAL_VELOCITY,27.2850000,0.0000224,-0.0000216,0.0000204
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924807,0.1830000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,27.5350000,0.0361236,0.3247849,-0.1839231
MsgID.LOCAL_VELOCITY,27.5350000,-0.0000203,-0.0000007,0.0000199
MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924812,0.2210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
